timestamp,window_id,seq_ratio,avg_irr,unique_ratio,irr_0_1k,irr_1k_10k,irr_10k_plus
1774424649.258145697,138,7645,1385088,10000,0,0,10000
1774424649.577104293,144,7641,1445728,10064,0,0,10000
1774424649.690988736,139,7678,1143552,10000,0,0,10000
1774424649.977364958,50,7625,503328,10000,0,0,10000
1774424650.282408083,145,7664,1231184,10000,0,0,10000
1774424650.585320118,140,7667,1406560,10064,0,0,10000
1774424650.808439483,146,7697,1465152,10000,0,0,10000
1774424650.903039447,141,7628,1414805,10000,0,0,10000
1774424651.226093560,147,7666,1378534,10000,0,0,10000
1774424651.313208220,142,7647,1329497,10000,0,0,10000
1774424651.346309028,47,7640,474720,10000,0,0,10000
1774424651.375305581,7,7632,77056,10000,0,0,10000
1774424651.615499135,143,7684,1275264,10000,0,0,10000
1774424651.767699317,148,7683,1286368,10064,0,0,10000
1774424651.964633452,144,7670,1182357,10064,0,0,10000
1774424652.366294733,149,7659,1367500,10000,0,0,10000
1774424652.564620549,150,7632,937024,10000,0,0,10000
1774424652.699984964,8,7601,87056,10064,0,0,10000
1774424653.005825392,145,7656,1156138,10000,0,0,10000
1774424653.282634237,151,7694,1153776,10000,0,0,10000
1774424653.451826871,146,7648,1376618,10000,0,0,10000
1774424653.698260929,152,7670,1183765,10064,0,0,10000
1774424653.888458433,153,7671,1372208,10000,0,0,10000
1774424654.036014120,147,7676,1472864,10000,0,0,10000
1774424654.305511881,148,7641,1486400,10064,0,0,10000
1774424654.510342966,154,7651,1540864,10000,0,0,10000
1774424654.759773087,51,7661,515216,10000,0,0,10000
1774424654.807422170,155,7660,1511914,10000,0,0,10000
1774424655.028104336,156,7659,1565088,10064,0,0,10000
1774424655.153546478,149,7663,1491093,10000,0,0,10000
1774424655.262398700,157,7683,1498794,10000,0,0,10000
1774424655.465517258,150,7689,1504784,10000,0,0,10000
1774424655.677066431,48,7642,456464,10064,0,0,10000
1774424655.869141549,49,7652,412269,10000,0,0,10000
1774424655.912588997,158,7671,1433472,10000,0,0,10000
1774424656.042160404,151,7650,1513616,10000,0,0,10000
1774424656.279896404,152,7651,1522368,10064,0,0,10000
1774424656.459252548,153,7673,980672,10000,0,0,10000
1774424657.075078701,154,7642,363264,10000,0,0,10000
1774424657.189474585,50,8963,336661,9935,3333,0,6666
1774424657.475992726,155,7595,613293,10000,0,0,10000
1774424657.666160044,156,7620,875155,10064,0,0,10000
1774424657.876876372,157,7601,974704,10000,0,0,10000
1774424658.157690560,158,7583,1252933,10000,0,0,10000
1774424658.228895706,8,7661,84556,10064,0,0,10000
1774424658.396978594,159,7587,1024536,10000,0,0,10000
1774424658.412104549,159,7640,1595413,10000,0,0,10000
1774424658.643665811,160,7576,1603776,10064,0,0,10000
1774424658.837295329,161,7597,1504298,10000,0,0,10000
1774424659.281444556,160,7601,997280,10064,0,0,10000
1774424659.385904031,162,7597,1477222,10000,0,0,10000
1774424659.660437842,163,7591,1416729,10000,0,0,10000
1774424659.724345099,161,7575,1075593,10000,0,0,10000
1774424659.789359836,9,7648,95424,10000,0,0,10000
1774424659.988788661,52,7579,519084,10064,0,0,10000
1774424660.266738906,164,7601,1512474,10064,0,0,10000
1774424660.493939444,162,7590,1370995,10000,0,0,10000
1774424660.792803663,165,7595,1297209,10000,0,0,10000
1774424660.864638084,163,7606,1076434,10000,0,0,10000
1774424661.130432729,9,7589,94748,10000,0,0,10000
1774424661.204037678,51,7615,515062,10000,0,0,10000
1774424661.338330019,164,7600,1367428,10064,0,0,10000
1774424661.747678976,165,7607,1546064,10000,0,0,10000
1774424661.956237198,166,7638,1252962,10000,0,0,10000
1774424661.967545558,166,7633,925046,10000,0,0,10000
1774424662.248979270,167,7629,1565530,10000,0,0,10000
1774424662.517926950,168,7645,1685870,10064,0,0,10000
1774424662.731611588,167,7613,1391025,10000,0,0,10000
1774424662.769335260,169,7614,1317806,10000,0,0,10000
1774424663.018133857,170,7641,822395,10000,0,0,10000
1774424663.221221575,168,7608,1680576,10064,0,0,10000
1774424663.413673318,169,7674,1565180,10000,0,0,10000
1774424663.664135105,170,7656,1464000,10000,0,0,10000
1774424663.798464772,0,5111,2364,6858,2857,7142,0
1774424663.866349421,52,7599,525482,10064,0,0,10000
1774424664.183760534,171,7731,1442826,10000,0,0,10000
1774424664.302606659,171,7609,1168458,10000,0,0,10000
1774424664.454808593,172,7686,1723916,10064,0,0,10000
1774424664.616944323,172,7640,1721497,10064,0,0,10000
1774424664.870259807,173,7667,0,10000,0,0,0
1774424665.095166281,10,7633,104283,10000,0,0,10000
1774424665.106842423,10,7635,103789,10000,0,0,10000
1774424665.147795124,174,7644,1748774,10000,0,0,10000
1774424665.334282894,173,7666,1734841,10000,0,0,10000
1774424665.565001553,175,7644,1752928,10000,0,0,10000
1774424665.808426087,176,7644,1764896,10064,0,0,10000
1774424665.996549374,177,7665,1773347,10000,0,0,10000
1774424666.055757704,174,7656,1744256,10000,0,0,10000
1774424666.318766689,175,7642,1147227,10000,0,0,10000
1774424666.406594459,178,7641,1412976,10000,0,0,10000
1774424666.793238504,176,7671,1177536,10064,0,0,10000
1774424666.903744383,179,7655,1293977,10000,0,0,10000
1774424667.135153110,177,7701,1052934,10000,0,0,10000
1774424667.435813280,178,7665,665171,10000,0,0,10000
1774424667.664241481,180,7678,1803600,10064,0,0,10000
1774424667.772390473,179,7682,1795289,10000,0,0,10000
1774424668.072099923,180,7633,1655451,10064,0,0,10000
1774424668.313674725,181,7676,702939,10000,0,0,10000
1774424668.553067646,182,7674,1578965,10000,0,0,10000
1774424668.751644494,183,7698,1804272,10000,0,0,10000
1774424668.949420200,53,7653,535936,10000,0,0,10000
1774424669.062508745,181,7667,350515,10000,0,0,10000
1774424669.243743488,11,7633,112704,10000,0,0,10000
1774424669.297410264,184,7639,1130446,10064,0,0,10000
1774424669.566211122,182,7652,1411541,10000,0,0,10000
1774424669.779042755,185,7669,1855696,10000,0,0,10000
1774424669.967439166,186,7660,1778602,10000,0,0,10000
1774424670.302106317,53,7636,282944,10000,0,0,10000
1774424670.417783850,187,7643,1650592,10000,0,0,10000
1774424670.606770527,54,7685,466069,10000,0,0,10000
1774424670.874671588,183,7674,1733296,10000,0,0,10000
