tid,seq_ratio,avg_stride
6342,0.983,11.7
6332,0.762,20.0
6332,0.723,17.8
6342,0.964,8.9
6332,0.715,28.3
6332,0.733,17.2
6342,0.989,8.6
6332,0.728,25.7
6342,0.982,7.9
6342,0.995,7.8
6342,0.990,7.6
6332,0.725,18.4
6332,0.748,19.5
6342,0.976,10.5
6332,0.730,20.4
6332,0.725,18.0
6342,0.976,10.6
6332,0.731,18.1
6332,0.728,18.2
6342,0.988,10.0
6332,0.728,19.7
6342,0.986,8.3
6342,0.991,7.8
6342,0.993,7.9
6332,0.718,18.2
6332,0.744,20.2
6342,0.979,11.0
6332,0.727,19.6
6332,0.734,20.2
6342,0.968,11.0
6332,0.737,19.3
6332,0.750,13.9
6342,0.991,8.0
6342,0.983,8.1
6342,0.992,7.7
6332,0.723,15.8
6342,0.992,7.9
6332,0.721,17.8
6332,0.734,26.6
6342,0.984,10.3
6332,0.727,21.2
6332,0.711,25.3
6342,0.979,10.9
6332,0.734,20.8
6342,0.984,9.6
6332,0.726,20.7
6342,0.990,7.9
6342,0.992,7.9
6332,0.716,19.8
6342,0.982,11.7
6332,0.732,21.7
6332,0.733,20.8
6342,0.982,7.9
6332,0.717,16.3
6332,0.727,19.0
6342,0.977,9.5
6332,0.709,19.3
6342,0.984,8.3
6332,0.731,26.0
6342,0.986,8.1
6342,0.994,8.0
6332,0.736,14.5
6342,0.989,10.2
6332,0.742,22.4
6332,0.729,17.1
6342,0.982,8.3
6332,0.735,20.1
6332,0.722,23.0
6342,0.978,8.3
6332,0.727,21.0
6332,0.733,25.9
6342,0.988,7.7
6332,0.715,24.6
6342,0.985,7.9
6342,0.991,7.9
6342,0.997,7.8
6332,0.741,21.0
6332,0.724,18.0
6332,0.721,17.3
6342,0.972,9.7
6332,0.729,18.5
6332,0.728,18.2
6342,0.968,9.3
6332,0.710,23.5
6332,0.735,25.2
6342,0.989,8.3
6342,0.983,8.4
6342,0.991,8.2
6342,0.996,8.0
6332,0.724,16.1
6332,0.733,18.3
6342,0.980,10.2
6332,0.735,20.1
6332,0.718,29.7
6342,0.968,10.6
6332,0.713,16.0
6332,0.726,26.7
6342,0.986,8.5
6342,0.986,8.0
6342,0.996,7.5
6332,0.718,17.1
6342,0.974,12.8
6332,0.725,19.8
6332,0.755,27.0
6342,0.978,10.8
6332,0.730,21.8
6332,0.721,22.2
6342,0.978,8.6
6332,0.725,21.6
6342,0.985,9.2
6332,0.760,25.7
6342,0.986,8.3
6342,0.992,8.2
6342,0.993,8.2
6332,0.723,15.2
6342,0.970,7.6
6332,0.722,14.6
6332,0.734,19.5
6342,0.976,7.0
6332,0.721,14.1
6342,0.979,6.7
6342,0.994,8.2
6342,0.984,11.9
6332,0.710,20.5
6342,0.974,4.9
6332,0.719,17.2
6342,0.984,8.5
6332,0.742,16.7
6332,0.713,16.4
6342,0.985,9.0
6332,0.720,22.2
6342,0.976,9.7
6332,0.701,18.0
6332,0.717,25.8
6342,0.973,7.8
6332,0.716,23.1
6342,0.963,22.5
6332,0.717,18.0
6332,0.716,24.9
6342,0.966,10.0
6332,0.720,18.7
6342,0.993,8.0
6332,0.700,25.5
6342,0.984,8.0
6342,0.991,8.0
6342,0.994,7.8
6332,0.719,18.2
6342,0.985,11.4
6332,0.738,12.7
6332,0.729,20.8
6342,0.972,11.9
6332,0.729,20.0
6332,0.734,21.2
6342,0.979,11.6
6342,0.990,8.1
6342,0.994,7.9
6332,0.726,15.5
6342,0.985,11.4
6332,0.725,19.0
6332,0.726,30.3
6342,0.977,8.7
6332,0.739,22.2
6342,0.981,7.7
6332,0.734,24.7
6332,0.728,16.1
6342,0.984,10.0
6342,0.993,8.1
6342,0.990,7.5
6332,0.725,20.5
6332,0.731,24.1
6342,0.985,11.5
6332,0.735,22.7
6332,0.728,25.6
6342,0.972,9.2
6332,0.745,23.3
6342,0.988,7.9
6332,0.723,17.4
6332,0.736,19.2
6342,0.986,9.4
6342,0.994,8.1
6342,0.991,7.8
6332,0.729,15.4
6332,0.721,19.9
6342,0.979,9.9
6332,0.723,22.2
6332,0.729,20.5
6342,0.972,10.0
6332,0.728,26.1
6342,0.987,8.6
6332,0.714,23.8
6332,0.722,20.8
6342,0.984,8.0
6342,0.993,7.8
6342,0.994,8.2
6332,0.720,18.2
6332,0.727,24.4
6342,0.977,12.0
6332,0.726,17.8
6332,0.726,13.6
6342,0.973,9.6
6332,0.723,22.9
6332,0.727,15.0
6342,0.985,8.5
6342,0.991,8.0
6342,0.994,7.8
6332,0.732,19.3
6342,0.983,8.3
6332,0.725,20.1
6332,0.736,21.0
6342,0.981,10.0
6332,0.733,21.7
6332,0.710,19.2
6342,0.976,9.2
6332,0.716,24.9
6342,0.983,9.7
6332,0.710,19.7
6342,0.990,7.9
6342,0.992,7.7
6332,0.750,15.4
6342,0.983,8.4
6332,0.712,25.2
6332,0.722,26.7
6342,0.983,8.8
6332,0.728,24.0
6332,0.738,18.5
6342,0.972,9.6
6332,0.725,16.1
6332,0.721,24.9
6332,0.719,18.9
6342,0.983,10.3
6342,0.992,7.4
6342,0.991,7.8
6342,0.987,8.5
6332,0.724,15.8
6332,0.740,21.1
6332,0.729,17.8
6342,0.986,8.5
6332,0.734,28.0
6332,0.720,25.5
6342,0.968,12.0
6332,0.709,28.7
6332,0.714,18.9
6342,0.988,7.7
6342,0.992,8.0
6342,0.994,7.7
6332,0.730,16.0
6342,0.980,8.9
6332,0.722,31.2
6332,0.731,26.1
6342,0.984,8.9
6332,0.727,19.2
6332,0.728,21.1
6342,0.969,9.6
6332,0.715,22.8
6332,0.721,22.6
6342,0.982,8.7
6342,0.993,7.7
6342,0.995,7.7
6332,0.728,20.6
6342,0.980,10.7
6332,0.719,25.8
6332,0.726,25.6
6342,0.981,9.7
6332,0.722,20.1
6332,0.730,20.3
6342,0.975,10.0
6332,0.718,22.9
6342,0.988,8.0
6332,0.712,22.9
6342,0.988,7.7
6342,0.993,8.1
6342,0.981,8.3
6332,0.729,16.7
6332,0.709,23.7
6332,0.730,20.1
6342,0.985,10.4
6332,0.727,22.1
6342,0.974,9.8
6332,0.726,19.3
6332,0.720,27.5
6342,0.988,8.4
6332,0.731,30.2
6342,0.987,7.9
6342,0.995,8.0
6342,0.986,8.3
6332,0.733,22.2
6332,0.738,22.0
6332,0.730,25.2
6342,0.988,8.2
6332,0.725,20.8
6342,0.972,9.1
6332,0.729,16.2
6332,0.741,22.6
6342,0.986,11.2
6332,0.704,14.8
6342,0.987,5.3
6342,0.990,9.6
6342,0.994,8.0
6332,0.721,25.9
6342,0.977,12.8
6332,0.733,23.9
6342,0.985,5.6
6332,0.707,19.2
6342,0.979,7.2
6332,0.727,20.7
6342,0.980,6.8
6332,0.715,16.7
6342,0.979,4.6
6332,0.718,23.5
6342,0.990,10.5
6342,0.993,8.9
6342,0.981,8.6
6332,0.713,16.1
6332,0.695,19.9
6342,0.983,7.5
6332,0.715,17.4
6332,0.717,16.4
6342,0.966,6.8
6332,0.725,21.0
6332,0.717,18.4
6342,0.971,6.1
6332,0.722,16.9
6342,0.973,6.4
6342,0.980,7.9
6342,0.991,7.9
6332,0.728,19.2
6332,0.723,24.7
6342,0.981,8.2
6332,0.726,22.4
6332,0.730,15.5
6342,0.978,12.4
6332,0.728,18.9
6332,0.737,21.3
6342,0.977,8.1
6332,0.725,18.5
6342,0.985,8.6
6342,0.993,7.8
6342,0.991,7.5
6332,0.727,13.7
6332,0.722,24.1
6342,0.986,8.3
6332,0.748,21.3
6332,0.724,22.7
6342,0.975,10.5
6332,0.741,18.5
6332,0.734,17.7
6342,0.972,10.1
6332,0.735,21.6
6332,0.732,14.7
6342,0.982,8.3
6342,0.996,8.2
6342,0.991,7.8
6332,0.727,21.5
6332,0.718,33.3
6342,0.980,7.7
6332,0.742,22.0
6342,0.980,8.5
6332,0.718,20.8
6332,0.716,22.2
6342,0.978,8.5
6332,0.734,23.2
6332,0.714,22.8
6342,0.984,8.0
6342,0.994,8.2
6342,0.991,8.0
6332,0.715,21.4
6332,0.714,17.0
6342,0.976,8921.9
6332,0.722,26.3
6332,0.727,23.3
6342,0.964,12.7
6332,0.728,22.9
6332,0.731,15.1
6342,0.980,8.8
6332,0.722,19.4
6342,0.988,7.9
6342,0.992,7.8
6332,0.723,16.3
6342,0.982,12.7
6332,0.731,19.4
6332,0.736,21.2
6342,0.985,8.2
6332,0.728,22.8
6332,0.723,28.3
6342,0.970,10.4
6332,0.725,20.6
6342,0.987,9.0
6342,0.991,8.0
6342,0.993,7.7
6332,0.720,20.3
6332,0.726,26.0
6342,0.979,12.8
6332,0.724,21.5
6332,0.726,21.4
6342,0.980,8.8
6332,0.713,20.3
6332,0.738,24.9
6342,0.977,7.6
6332,0.733,22.3
6332,0.711,21.9
6342,0.977,8.7
6342,0.996,8.1
6342,0.991,7.8
6332,0.732,16.2
6342,0.981,10.6
6332,0.717,18.4
6332,0.730,16.6
6342,0.980,9.1
6332,0.731,15.3
6332,0.731,18.3
6342,0.982,8.4
6332,0.716,21.9
6342,0.985,7.8
6342,0.995,7.4
6342,0.993,7.4
6332,0.722,26.9
6332,0.721,20.4
6342,0.979,10.8
6332,0.733,15.9
6332,0.733,21.3
6342,0.981,8.3
6332,0.716,30.1
6332,0.709,19.5
6342,0.980,10.1
6332,0.725,19.9
6342,0.987,8.2
6342,0.993,8.0
6342,0.992,8.2
6332,0.735,21.8
6332,0.713,20.5
6332,0.737,19.4
6342,0.983,9.4
6332,0.735,24.4
6332,0.737,24.7
6342,0.975,10.3
6332,0.738,15.4
6342,0.983,10.2
6332,0.713,16.5
6342,0.984,8.6
6342,0.994,7.4
6342,0.993,7.8
6332,0.735,19.3
6332,0.723,18.5
6342,0.981,10.0
