tid,seq_ratio,avg_stride
13106,0.799,15.0
13106,0.798,24.0
13106,0.820,15.1
13106,0.799,20.2
13106,0.809,16.1
13106,0.813,13.2
13106,0.791,24.8
13106,0.795,15.8
13106,0.795,14.6
13106,0.797,24.3
13106,0.807,17.7
13106,0.787,16.2
13106,0.797,14.2
13106,0.800,20.5
13106,0.804,14.6
13106,0.797,14.6
13106,0.804,19.9
13106,0.791,13.5
13106,0.801,21.2
13106,0.800,13.9
13106,0.807,18.1
13106,0.810,18.8
13106,0.800,19.4
13106,0.810,12.6
13106,0.811,19.1
13106,0.805,17.2
13106,0.790,21.4
13106,0.803,21.6
13106,0.804,18.8
13106,0.807,19.0
13106,0.789,20.8
13106,0.786,20.9
13106,0.792,15.7
13106,0.801,18.1
13106,0.800,17.9
13106,0.794,14.3
13106,0.802,21.6
13106,0.806,12.9
13106,0.795,18.1
13106,0.787,19.5
13106,0.795,22.3
13106,0.796,15.4
13106,0.798,20.0
13106,0.789,21.5
13106,0.814,16.2
13106,0.805,14.6
13106,0.803,20.4
13106,0.801,15.9
13106,0.797,16.6
13106,0.801,19.8
13106,0.797,16.7
13106,0.797,16.0
13106,0.809,14.6
13106,0.791,21.9
13106,0.810,17.4
13106,0.788,14.1
13106,0.823,17.7
13106,0.796,20.8
13106,0.784,23.8
13106,0.810,16.4
13106,0.808,18.7
13106,0.815,18.6
13116,0.951,7.3
13106,0.816,20.6
13116,0.973,6.1
13106,0.803,16.1
13116,0.984,5.1
13106,0.810,14.2
13116,0.982,5.2
13106,0.818,12.1
13116,0.983,6.0
13106,0.812,14.4
13116,0.977,5.8
13116,0.982,10.6
13116,0.988,10.5
13106,0.797,21.5
13116,0.973,10.6
13116,0.982,7.0
13116,0.991,8.0
13106,0.790,18.4
13106,0.802,16.6
13106,0.792,17.4
13106,0.804,15.1
13106,0.793,17.3
13106,0.812,14.2
13106,0.800,23.1
13106,0.812,13.2
13106,0.799,14.2
13106,0.809,14.5
13106,0.804,17.1
13106,0.813,17.0
13106,0.806,22.1
13106,0.793,19.3
13106,0.802,17.9
13106,0.812,19.5
13106,0.796,18.3
13106,0.782,14.7
13106,0.805,15.1
13106,0.808,21.5
13106,0.805,17.6
13106,0.812,12.4
13106,0.812,16.3
13106,0.819,17.2
13106,0.790,21.1
13106,0.788,17.1
13106,0.796,16.8
13106,0.818,13.5
13106,0.798,18.4
13106,0.803,15.8
13106,0.809,18.5
13106,0.797,18.6
13106,0.802,13.2
13106,0.795,13.4
13106,0.796,17.7
13106,0.808,18.7
13106,0.808,16.4
13106,0.799,16.1
13106,0.817,15.9
13106,0.798,15.9
13106,0.796,15.3
13106,0.815,16.8
13106,0.809,14.4
13106,0.805,15.9
13106,0.790,16.5
13106,0.799,12.4
13106,0.794,21.2
13106,0.810,23.2
13106,0.807,16.8
13106,0.811,15.9
13106,0.808,22.7
13106,0.796,20.9
13106,0.808,19.8
13106,0.818,16.0
13106,0.799,19.9
13106,0.790,22.0
13106,0.798,18.6
13106,0.802,18.6
13106,0.793,17.9
13106,0.798,17.4
13106,0.799,19.7
13106,0.796,18.0
13106,0.810,17.7
13106,0.804,20.3
13106,0.813,15.1
13106,0.813,13.3
13106,0.800,19.4
13106,0.796,22.7
13106,0.804,20.8
13106,0.779,20.8
13116,0.976,10.6
13106,0.802,17.2
13116,0.969,7.5
13106,0.804,23.7
13116,0.983,7.0
13106,0.798,16.7
13116,0.989,5.1
13106,0.808,15.1
13106,0.794,20.6
13106,0.799,18.3
13106,0.808,17.5
13106,0.790,22.9
13106,0.804,17.3
13106,0.809,25.2
13106,0.799,13.9
13106,0.832,16.8
13106,0.824,20.6
13106,0.837,17.6
13106,0.800,13.6
13106,0.844,17.6
13106,0.813,16.0
13106,0.836,16.5
13106,0.821,15.5
13106,0.805,20.7
13106,0.795,16.9
13106,0.807,20.1
13106,0.807,18.6
13106,0.794,19.2
13106,0.810,15.4
13106,0.812,16.8
13106,0.795,22.8
13106,0.796,15.9
13106,0.815,16.2
13106,0.804,14.1
13106,0.800,20.8
13106,0.797,19.0
13106,0.813,16.1
13106,0.802,15.3
13106,0.786,16.6
13106,0.785,16.3
13106,0.805,15.9
13106,0.794,17.5
13106,0.799,22.9
13106,0.793,18.3
13106,0.781,19.6
13106,0.814,9.2
13106,0.787,14.0
13106,0.809,12.3
13106,0.805,11.2
13106,0.798,21.1
13106,0.797,16.9
13106,0.802,18.9
13106,0.796,23.1
13106,0.806,14.8
13106,0.807,18.6
13106,0.808,15.1
13106,0.810,12.2
13106,0.810,21.1
13106,0.790,19.3
13106,0.822,12.8
13106,0.793,13.8
13106,0.779,15.7
13106,0.807,14.5
13106,0.797,16.9
13106,0.793,15.0
13106,0.794,22.3
13106,0.804,17.6
13106,0.796,15.7
13106,0.793,20.3
13106,0.806,17.6
13106,0.792,15.3
13106,0.790,15.7
13106,0.807,17.4
13106,0.814,18.2
13106,0.809,13.2
13106,0.810,14.4
13106,0.793,16.4
13106,0.816,22.2
13106,0.826,14.8
13106,0.802,22.7
13106,0.809,14.2
13106,0.799,11.6
13106,0.806,14.8
13106,0.819,19.7
13106,0.813,22.2
13106,0.801,14.4
13106,0.807,15.1
13106,0.804,19.2
13106,0.808,19.9
13106,0.806,15.5
13106,0.801,18.3
13106,0.815,19.1
13106,0.787,21.1
13106,0.795,23.8
13106,0.805,14.9
13106,0.802,17.5
13106,0.810,16.9
13106,0.805,17.9
13106,0.813,15.7
13106,0.820,12.1
13106,0.807,14.5
13106,0.804,14.9
13106,0.810,12.9
13106,0.798,14.6
13106,0.809,14.3
13106,0.802,18.2
13106,0.803,23.6
13106,0.805,14.6
13106,0.809,20.5
13106,0.800,24.1
13106,0.789,24.0
13106,0.794,14.8
13106,0.787,20.0
13106,0.790,17.3
13106,0.815,18.9
13106,0.801,12.6
13106,0.806,18.3
13106,0.806,12.3
13106,0.803,12.0
13106,0.809,18.7
13106,0.798,23.0
13106,0.808,20.7
13106,0.795,18.8
13106,0.814,21.2
13106,0.809,13.6
13106,0.803,26.2
13106,0.780,14.6
13106,0.807,19.0
13106,0.811,16.3
13106,0.800,19.6
13106,0.806,18.6
13106,0.803,15.2
13106,0.799,16.3
13106,0.812,19.6
13106,0.784,18.5
13106,0.801,18.0
13106,0.805,12.9
13106,0.806,18.3
13106,0.800,16.1
13106,0.795,12.6
13106,0.803,16.4
13106,0.804,12.6
13106,0.809,16.6
13106,0.814,12.3
13106,0.782,17.7
13106,0.794,20.0
13106,0.795,19.2
13106,0.788,15.1
13106,0.800,17.4
13116,0.950,9.1
13106,0.804,16.4
13116,0.970,7.9
13106,0.786,16.9
13116,0.987,7.4
13106,0.808,14.8
13106,0.810,18.4
13106,0.785,21.6
13106,0.805,19.4
13106,0.807,25.7
13106,0.813,15.7
13106,0.804,15.7
13106,0.799,21.3
13106,0.806,15.7
13106,0.795,16.8
13106,0.867,12.7
13106,0.832,12.1
13106,0.857,17.4
13106,0.828,15.3
13106,0.827,14.2
13106,0.875,12.1
13106,0.810,25.4
13106,0.791,24.8
13106,0.805,16.5
13106,0.808,17.3
13106,0.801,21.6
13106,0.800,13.6
13106,0.807,18.4
13106,0.807,15.5
13106,0.810,21.0
13106,0.805,21.3
13106,0.790,18.2
13106,0.800,19.9
13106,0.798,14.9
13106,0.805,15.2
13106,0.790,16.9
13106,0.791,20.2
13106,0.807,14.8
13106,0.781,22.5
13106,0.799,16.0
13106,0.795,21.1
13106,0.803,17.2
13106,0.821,14.0
13106,0.798,15.9
13106,0.789,13.3
13106,0.809,13.8
13106,0.799,16.1
13106,0.780,15.4
13106,0.813,15.0
13106,0.825,15.9
13106,0.814,13.7
13106,0.797,16.1
13106,0.797,17.3
13106,0.804,16.9
13106,0.799,20.1
13106,0.794,17.0
13106,0.802,28.2
13106,0.804,17.1
13106,0.805,23.0
13106,0.809,20.2
13106,0.802,15.6
13106,0.783,11.3
13106,0.805,16.9
13106,0.799,14.3
13106,0.803,14.5
13106,0.791,18.5
13106,0.821,17.2
13106,0.800,19.7
13106,0.798,17.2
13106,0.775,16.3
13106,0.790,27.2
13106,0.811,17.3
13106,0.800,14.9
13106,0.797,11.4
13106,0.802,16.5
13106,0.814,14.3
13106,0.802,19.4
13106,0.804,18.4
13106,0.812,22.1
13106,0.790,15.8
13106,0.796,20.9
13106,0.800,18.3
13106,0.803,16.9
13106,0.797,20.3
13106,0.799,19.4
13106,0.797,17.1
13106,0.803,22.2
13106,0.800,13.1
13106,0.796,19.0
13106,0.790,22.0
13106,0.813,15.8
13106,0.797,29.9
13106,0.814,18.9
13106,0.807,20.8
13106,0.805,15.5
13106,0.808,21.8
13106,0.808,14.1
13106,0.803,18.0
13106,0.810,22.3
13106,0.807,18.9
13106,0.797,21.8
13106,0.803,18.0
13106,0.815,14.7
13106,0.816,14.8
13106,0.800,22.4
13106,0.801,20.6
13106,0.782,19.1
13106,0.802,19.2
13106,0.804,22.6
13106,0.814,22.1
13106,0.795,18.3
13106,0.807,14.4
13106,0.815,15.2
13106,0.812,14.7
13106,0.802,16.1
13106,0.814,16.9
13106,0.802,15.8
13106,0.798,22.0
13106,0.806,16.5
13106,0.794,19.1
13106,0.812,11.5
13106,0.818,22.0
13106,0.788,26.4
13106,0.812,20.1
13106,0.805,20.6
13106,0.802,24.0
13106,0.814,19.2
13106,0.799,22.9
13106,0.805,15.3
13106,0.784,26.1
13106,0.800,12.2
13106,0.814,17.4
13106,0.811,15.9
13106,0.797,11.7
13106,0.805,24.8
13106,0.794,15.5
13106,0.790,19.7
13106,0.799,19.8
13106,0.813,17.2
13106,0.798,13.8
13106,0.806,15.4
13106,0.790,16.5
13106,0.796,13.6
13106,0.792,14.8
13106,0.791,14.9
13106,0.794,16.4
13106,0.803,17.2
13106,0.788,11.4
13106,0.807,22.5
13116,0.971,6.2
13106,0.802,16.2
13116,0.972,6.8
13106,0.817,14.3
