tid,seq_ratio,avg_stride
13701,0.989,8.3
13701,0.992,8.1
13701,0.993,7.8
13691,0.732,14.2
13691,0.737,22.6
13701,0.975,8.4
13691,0.723,18.0
13691,0.718,28.0
13701,0.969,8.5
13691,0.747,11.8
13701,0.984,8.3
13691,0.721,26.8
13691,0.709,18.5
13691,0.721,21.5
13701,0.979,9.8
13701,0.994,7.8
13701,0.987,7.7
13691,0.716,18.6
13691,0.731,20.7
13701,0.984,7.5
13691,0.728,24.3
13701,0.968,11.5
13691,0.713,17.5
13691,0.742,21.4
13701,0.987,9.0
13691,0.713,24.7
13701,0.983,8.7
13701,0.994,7.6
13701,0.991,8.1
13691,0.724,18.5
13691,0.715,21.6
13701,0.972,10.9
13691,0.717,19.2
13691,0.748,16.9
13701,0.981,9.4
13691,0.719,21.9
13701,0.976,11.3
13691,0.707,23.4
13691,0.732,20.2
13701,0.982,9.7
13701,0.988,7.7
13701,0.993,7.8
13691,0.715,15.1
13701,0.989,9.7
13691,0.730,23.2
13691,0.722,22.6
13701,0.986,8.5
13691,0.731,21.2
13701,0.964,8.6
13691,0.729,27.7
13701,0.986,8.3
13691,0.720,28.1
13701,0.986,8.9
13701,0.994,7.8
13701,0.994,7.8
13691,0.729,17.6
13691,0.734,18.9
13691,0.714,23.0
13701,0.974,1057.8
13691,0.716,18.1
13701,0.984,8.9
13691,0.733,17.0
13691,0.748,17.4
13701,0.976,8.4
13691,0.739,20.5
13701,0.981,7.9
13701,0.987,8.4
13701,0.993,8.2
13691,0.732,17.0
13691,0.733,23.0
13701,0.988,8.5
13691,0.729,18.7
13691,0.743,25.8
13701,0.980,8.5
13691,0.722,19.5
13701,0.963,10.6
13691,0.718,15.2
13701,0.991,8.7
13701,0.990,8.0
13701,0.992,8.0
13691,0.717,13.7
13701,0.988,7.9
13691,0.727,15.0
13701,0.987,6.2
13691,0.742,22.1
13701,0.983,8.3
13691,0.722,22.2
13701,0.984,5.9
13691,0.745,27.8
13701,0.980,5.3
13701,0.980,5.5
13701,0.987,8.3
13701,0.993,10.0
13691,0.705,21.0
13701,0.979,4200.8
13691,0.721,21.7
13701,0.992,8.1
13691,0.707,21.2
13701,0.972,8.8
13691,0.712,17.1
13701,0.986,7.1
13691,0.716,21.7
13701,0.957,16.6
13691,0.732,19.8
13701,0.983,8.4
13691,0.721,18.9
13701,0.980,8.4
13691,0.719,19.7
13691,0.723,28.8
13701,0.983,7.9
13701,0.995,8.2
13701,0.991,7.9
13691,0.726,16.6
13691,0.703,28.8
13701,0.983,9.2
13691,0.722,24.0
13701,0.978,11.7
13691,0.730,16.0
13701,0.981,8.1
13691,0.705,19.6
13691,0.719,18.1
13701,0.984,10.3
13701,0.993,7.7
13701,0.993,7.8
13691,0.720,18.5
13701,0.984,8.6
13691,0.713,19.3
13691,0.723,20.2
13701,0.981,7.8
13691,0.726,20.3
13691,0.753,26.0
13701,0.969,8.8
13691,0.714,15.1
13701,0.989,8.4
13701,0.985,9.8
13701,0.993,8.2
13691,0.716,18.8
13691,0.716,25.3
13701,0.985,8.2
13691,0.719,17.9
13691,0.711,22.6
13701,0.978,8.9
13691,0.723,21.5
13701,0.974,8.6
13691,0.724,21.2
13691,0.724,23.5
